# r2% [m],q [m^3/s per m]
0.634505,1.6036e-32
0.648103,1.3231e-31
0.662400,6.6850e-31
0.808941,2.4695e-24
0.968787,1.4229e-19
0.992782,6.1222e-19
1.025235,4.2865e-18
0.879188,1.1984e-21
0.896811,4.3408e-21
1.437727,5.3524e-12
1.314714,2.2786e-13
1.340998,4.3885e-13
1.319449,2.3228e-13
1.232994,1.6502e-14
1.220002,1.1421e-14
1.191428,4.1681e-15
1.288270,9.1464e-14
1.304815,1.6845e-13
1.334060,5.2397e-13
1.345676,9.7620e-13
1.328579,7.7662e-13
1.345306,1.2757e-12
1.390385,4.4677e-12
1.530638,1.2182e-10
1.448225,3.8879e-11
1.432813,3.5714e-11
1.451769,6.1011e-11
1.478823,1.2792e-10
1.583054,9.3570e-10
1.555947,6.2725e-10
1.536102,3.4781e-10
1.550504,6.8651e-10
1.540247,4.3598e-10
1.547829,4.8239e-10
0.691511,2.4019e-27
1.537822,1.6574e-10
1.492733,5.6283e-11
1.481829,4.5597e-11
1.468393,2.5250e-11
1.403635,3.5136e-12
1.347751,4.5215e-13
1.308787,2.5126e-13
1.312088,3.1048e-13
1.267370,7.8793e-14
1.248033,3.9822e-14
1.195598,5.5068e-15
1.117416,4.4900e-16
1.099515,1.8954e-16
1.051269,2.0474e-17
1.039575,1.3039e-17
0.992494,8.4891e-19
1.001200,1.8375e-18
0.999344,2.5122e-18
1.020525,5.6445e-18
1.012894,3.9623e-18
1.002860,3.5377e-18
0.982294,1.4460e-18
0.895021,4.2217e-21
0.830301,1.3366e-23
0.763326,1.2257e-26
0.748429,1.3709e-27
0.719460,1.3389e-29
0.706489,3.9036e-31
0.627826,4.3319e-37
0.549127,2.7069e-44
0.489250,9.5323e-51
0.486522,1.5667e-51
0.485884,2.0988e-51
0.481843,2.3568e-52
0.417087,1.1578e-63
0.345508,2.1320e-82
0.254586,1.8513e-113
0.147632,1.8186e-229
0.180693,7.2228e-179
0.463952,1.6820e-51
0.457790,4.3277e-52
0.452514,1.5765e-52
0.440263,6.7339e-55
0.437162,6.1422e-55
0.444168,9.3822e-54
0.455321,3.7659e-52
0.444906,1.4661e-52
0.500464,2.3070e-45
0.548302,4.2383e-34
0.581423,1.5897e-37
0.625962,1.1566e-34
0.259416,1.5383e-107
0.246838,2.2068e-117
0.233619,1.1536e-127
0.220233,1.2468e-138
0.212430,2.6755e-145
0.203094,1.4580e-152
0.197440,4.0763e-155
0.195391,2.6563e-154
0.192849,1.9100e-155
0.182032,1.2474e-166
0.166080,4.0964e-187
0.149487,1.6576e-214
0.123577,2.1222e-276
0.129066,1.0704e-264
0.136051,1.7451e-252
0.137634,1.0857e-256
0.122455,2.7775e-308
0.113043,0.0000e+00
0.106222,0.0000e+00
0.107539,0.0000e+00
0.108460,0.0000e+00
0.122890,4.0513e-322
0.097980,0.0000e+00
0.095911,0.0000e+00
0.097278,0.0000e+00
0.095208,0.0000e+00
0.092533,0.0000e+00
0.090534,0.0000e+00
0.088595,0.0000e+00
0.085434,0.0000e+00
0.086748,0.0000e+00
0.077832,0.0000e+00
0.070631,0.0000e+00
0.061197,0.0000e+00
0.058778,0.0000e+00
0.059750,0.0000e+00
0.058902,0.0000e+00
0.085287,0.0000e+00
0.096939,0.0000e+00
0.200849,3.9961e-148
0.110867,0.0000e+00
0.138327,3.4282e-253
0.148712,7.1919e-238
0.146602,3.2699e-248
0.145567,5.0205e-254
0.148797,4.5896e-249
0.154470,2.9378e-239
0.152350,2.2539e-245
0.158856,3.4553e-233
0.153880,1.2720e-242
0.144890,7.5082e-261
0.131485,1.3143e-295
0.118270,0.0000e+00
0.094674,0.0000e+00
0.083951,0.0000e+00
0.078116,0.0000e+00
